{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:37  t-loss1/2:1.0023/0.8543, loss-lb1/2:1.0023/0.8543, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:38  t-loss1/2:0.9054/0.8840, loss-lb1/2:0.9054/0.8840, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:39  t-loss1/2:0.9580/1.0134, loss-lb1/2:0.9580/1.0134, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:40  t-loss1/2:0.8680/0.7886, loss-lb1/2:0.8680/0.7886, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:41  t-loss1/2:0.8591/0.7190, loss-lb1/2:0.8591/0.7190, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:42  t-loss1/2:0.8284/0.6974, loss-lb1/2:0.8284/0.6974, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:43  t-loss1/2:0.8701/0.7244, loss-lb1/2:0.8701/0.7244, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:44  t-loss1/2:0.8434/0.8276, loss-lb1/2:0.8434/0.8276, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:45  t-loss1/2:0.7020/0.6953, loss-lb1/2:0.7020/0.6953, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:46  t-loss1/2:0.7506/0.6453, loss-lb1/2:0.7506/0.6453, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
