{'base_lr': 0.001,
 'batch_size': 24,
 'cfg': 'config_2d_aut.yml',
 'consistency': 2.0,
 'consistency_rampup': 50,
 'deterministic': False,
 'exp': 'ACDC_runs/vcps_hs2',
 'gpu_id': 1,
 'is_hs': True,
 'labeled_bs': 12,
 'labeled_num': 3,
 'max_iterations': 30000,
 'model1': 'unet_hsseg',
 'model2': 'unet_hsseg',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': '/home/chenyu/SSMIS/data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2025,
 'test_interval_ep': 2}
total 1312 samples
total 20 samples
Total silices is: 1312, labeled slices is: 68
103 iterations per epoch
  0%|                                         | 0/292 [00:00<?, ?it/s]iteration:1  t-loss1/2:4.5980/4.4152, loss-lb1/2:4.5980/4.4152, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:47  t-loss1/2:0.7439/0.6528, loss-lb1/2:0.7439/0.6528, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:48  t-loss1/2:0.7177/0.7638, loss-lb1/2:0.7177/0.7638, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:49  t-loss1/2:0.7110/0.7353, loss-lb1/2:0.7110/0.7353, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:50  t-loss1/2:0.7068/0.6212, loss-lb1/2:0.7068/0.6212, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:51  t-loss1/2:0.7684/0.7247, loss-lb1/2:0.7684/0.7247, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:52  t-loss1/2:0.7081/0.6259, loss-lb1/2:0.7081/0.6259, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:53  t-loss1/2:0.7131/0.7131, loss-lb1/2:0.7131/0.7131, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:54  t-loss1/2:0.6242/0.5822, loss-lb1/2:0.6242/0.5822, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:55  t-loss1/2:0.6253/0.5538, loss-lb1/2:0.6253/0.5538, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:56  t-loss1/2:0.7726/0.6700, loss-lb1/2:0.7726/0.6700, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:57  t-loss1/2:0.6418/0.6080, loss-lb1/2:0.6418/0.6080, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:58  t-loss1/2:0.6219/0.6671, loss-lb1/2:0.6219/0.6671, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:59  t-loss1/2:0.6030/0.5974, loss-lb1/2:0.6030/0.5974, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:60  t-loss1/2:0.5991/0.5528, loss-lb1/2:0.5991/0.5528, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:61  t-loss1/2:0.6447/0.6754, loss-lb1/2:0.6447/0.6754, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:62  t-loss1/2:0.6114/0.5590, loss-lb1/2:0.6114/0.5590, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:63  t-loss1/2:0.4899/0.4764, loss-lb1/2:0.4899/0.4764, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:64  t-loss1/2:0.7100/0.6620, loss-lb1/2:0.7100/0.6620, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:65  t-loss1/2:0.4663/0.4442, loss-lb1/2:0.4663/0.4442, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:66  t-loss1/2:0.6137/0.5208, loss-lb1/2:0.6137/0.5208, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
iteration:67  t-loss1/2:0.5643/0.5311, loss-lb1/2:0.5643/0.5311, loss-ulb1/2:0.0000/0.0000, weight:0.01, lr:0.0010
